unidade;ano;mes;obito_hospitalar;obito_institucional
CHPB;2025;1;0;0
CHPB;2025;2;1;1
CHPB;2025;3;0;0
CHPB;2025;4;1;1
CHPB;2025;5;5;5
CHPB;2025;6;3;3
CHPB;2025;7;1;1
CHPB;2025;8;2;2
CHPB;2025;9;0;0
CHPB;2025;10;0;0
CHPB;2025;11;0;0
CSSFA;2025;1;0;0
CSSFA;2025;2;1;1
CSSFA;2025;3;0;0
CSSFA;2025;4;1;1
CSSFA;2025;5;1;1
CSSFA;2025;6;1;1
CSSFA;2025;7;1;1
CSSFA;2025;8;1;1
CSSFA;2025;9;0;0
CSSFA;2025;10;0;0
CSSFA;2025;11;0;0
CSSI;2025;1;4;4
CSSI;2025;2;5;4
CSSI;2025;3;3;2
CSSI;2025;4;7;7
CSSI;2025;5;6;5
CSSI;2025;6;8;8
CSSI;2025;7;4;4
CSSI;2025;8;3;3
CSSI;2025;9;4;4
CSSI;2025;10;10;9
CSSI;2025;11;4;4
HAC;2025;1;42;40
HAC;2025;2;32;31
HAC;2025;3;21;21
HAC;2025;4;26;26
HAC;2025;5;40;40
HAC;2025;6;31;29
HAC;2025;7;44;37
HAC;2025;8;35;33
HAC;2025;9;17;16
HAC;2025;10;28;27
HAC;2025;11;25;24
HCM;2025;1;2;2
HCM;2025;2;0;0
HCM;2025;3;0;0
HCM;2025;4;3;3
HCM;2025;5;1;1
HCM;2025;6;1;1
HCM;2025;7;5;4
HCM;2025;8;4;4
HCM;2025;9;6;6
HCM;2025;10;1;1
HCM;2025;11;1;1
HEM;2025;1;10;10
HEM;2025;2;15;14
HEM;2025;3;11;10
HEM;2025;4;14;13
HEM;2025;5;17;13
HEM;2025;6;22;20
HEM;2025;7;16;15
HEM;2025;8;15;15
HEM;2025;9;10;9
HEM;2025;10;13;13
HEM;2025;11;12;12
HIJPII;2025;1;1;0
HIJPII;2025;2;4;3
HIJPII;2025;3;2;2
HIJPII;2025;4;7;7
HIJPII;2025;5;5;5
HIJPII;2025;6;3;3
HIJPII;2025;7;1;1
HIJPII;2025;8;0;0
HIJPII;2025;9;2;2
HIJPII;2025;10;2;1
HIJPII;2025;11;6;2
HJK;2025;1;56;49
HJK;2025;2;50;44
HJK;2025;3;42;37
HJK;2025;4;50;44
HJK;2025;5;70;59
HJK;2025;6;62;55
HJK;2025;7;71;61
HJK;2025;8;62;50
HJK;2025;9;55;48
HJK;2025;10;62;55
HJK;2025;11;62;56
HJXXIII;2025;1;44;33
HJXXIII;2025;2;35;24
HJXXIII;2025;3;46;37
HJXXIII;2025;4;43;25
HJXXIII;2025;5;50;33
HJXXIII;2025;6;41;29
HJXXIII;2025;7;42;32
HJXXIII;2025;8;40;32
HJXXIII;2025;9;46;32
HJXXIII;2025;10;46;36
HJXXIII;2025;11;40;33
HMAL;2025;1;0;0
HMAL;2025;2;0;0
HMAL;2025;3;0;0
HMAL;2025;4;0;0
HMAL;2025;5;0;0
HMAL;2025;6;0;0
HMAL;2025;7;0;0
HMAL;2025;8;0;0
HMAL;2025;9;0;0
HMAL;2025;10;0;0
HMAL;2025;11;0;0
HRAD;2025;1;31;26
HRAD;2025;2;32;28
HRAD;2025;3;23;18
HRAD;2025;4;41;32
HRAD;2025;5;36;32
HRAD;2025;6;40;35
HRAD;2025;7;36;31
HRAD;2025;8;26;25
HRAD;2025;9;36;28
HRAD;2025;10;35;32
HRAD;2025;11;39;33
HRBJA;2025;1;50;42
HRBJA;2025;2;38;34
HRBJA;2025;3;37;34
HRBJA;2025;4;40;32
HRBJA;2025;5;58;48
HRBJA;2025;6;50;41
HRBJA;2025;7;53;44
HRBJA;2025;8;45;44
HRBJA;2025;9;36;32
HRBJA;2025;10;51;41
HRBJA;2025;11;39;35
HRJP;2025;1;10;9
HRJP;2025;2;5;5
HRJP;2025;3;14;13
HRJP;2025;4;16;16
HRJP;2025;5;13;12
HRJP;2025;6;10;10
HRJP;2025;7;9;9
HRJP;2025;8;7;7
HRJP;2025;9;15;14
HRJP;2025;10;19;18
HRJP;2025;11;13;13
IRS;2025;1;0;0
IRS;2025;2;0;0
IRS;2025;3;0;0
IRS;2025;4;0;0
IRS;2025;5;0;0
IRS;2025;6;0;0
IRS;2025;7;0;0
IRS;2025;8;0;0
IRS;2025;9;0;0
IRS;2025;10;0;0
IRS;2025;11;0;0
MOV;2025;1;7;7
MOV;2025;2;12;12
MOV;2025;3;3;3
MOV;2025;4;9;9
MOV;2025;5;6;6
MOV;2025;6;6;5
MOV;2025;7;2;2
MOV;2025;8;6;5
MOV;2025;9;4;3
MOV;2025;10;5;3
MOV;2025;11;3;1
